大骨類別,原因,說明,出處
經濟,對中貿易逆差擴大,"2018 年美國對中國商品貿易逆差約 4,190 億美元，創歷史新高",美國人口普查局（Census Bureau）貿易統計
經濟,中國衝擊與製造業流失,研究指出中國進口競爭是 2000 年代美國製造業就業流失的重要原因之一,"Autor, Dorn & Hanson, ""The China Shock""（2016）"
科技,《中國製造 2025》,2015 年中國國務院發布，目標讓半導體、航太、電動車等產業自主,中國國務院《中國製造 2025》（2015）
科技,強制技術移轉與智財爭議,美方指控中國透過合資要求、網路竊取等方式取得美國技術,USTR 301 調查報告（2018-03-22）
制度,國家補貼與國有企業,美方認為中國的產業補貼與國企扭曲市場競爭,USTR 301 調查報告（2018-03-22）
制度,市場准入限制,外國企業進入中國市場常被要求合資，或在特定產業受到限制,USTR 301 調查報告（2018-03-22）
制度,WTO 規則難以約束,美方認為當年支持中國入世是錯誤決定，WTO 規則無法有效約束中國,USTR《中國 WTO 遵循報告》（2018-01）
國內政治,鏽帶選民與貿易保護,2016 年川普以保護製造業、對中強硬為訴求，贏得中西部搖擺州,待查證
國內政治,兩黨對中轉向強硬,拜登政府保留大部分對中關稅，並擴大科技出口管制,待查證
地緣戰略,霸權競爭,2017 年美國《國家安全戰略》將中國列為挑戰美國的「修正主義強權」,美國白宮《國家安全戰略》（2017-12）
地緣戰略,修昔底德陷阱,崛起強權與既有霸權之間容易爆發衝突的歷史結構,"Graham Allison, Destined for War（2017）"
