id,任務,負責人,開始日,截止日,狀態,章節
T01,確認大綱與分配章節,組長,2026-09-18,2026-09-22,進行中,全體
T02,建立進度網站與 Google 試算表,組長,2026-09-18,2026-09-25,進行中,全體
T03,歷史背景資料蒐集（1979–2016）,資料組A,2026-09-23,2026-10-09,待辦,3 歷史背景
T04,魚骨圖成因整理與出處,資料組A,2026-09-28,2026-10-14,待辦,3 歷史背景
T05,歷史上的貿易戰：案例與效果（斯姆特-霍利、美日貿易摩擦）,資料組A,2026-10-08,2026-10-21,待辦,2 歷史上的貿易戰
T06,大事記整理（2017–2025）,資料組B,2026-09-23,2026-10-14,待辦,4 衝突經過
T07,2026 最新發展查證,資料組B,2026-10-08,2026-10-21,待辦,4 衝突經過
T19,貿易戰定義與名詞解釋,資料組C,2026-09-23,2026-10-04,待辦,1 什麼是貿易戰
T08,影響分析：美國與中國,資料組C,2026-09-23,2026-10-09,待辦,5 影響分析
T09,影響分析：台灣與全球供應鏈,資料組C,2026-10-05,2026-10-21,待辦,5 影響分析
T10,簡報版型與視覺風格,簡報,2026-10-12,2026-10-21,待辦,簡報
T11,資料彙整與期中檢核,組長,2026-10-22,2026-10-23,待辦,全體
T12,講稿初稿,組長,2026-10-24,2026-11-01,待辦,全體
T13,簡報內容製作,簡報,2026-10-26,2026-11-05,待辦,簡報
T14,Q&A 題庫,全組,2026-10-29,2026-11-06,待辦,6 結論與提問
T15,講稿與簡報定稿,組長,2026-11-02,2026-11-07,待辦,全體
T16,彩排一（完整計時 45 分鐘）,全組,2026-11-09,2026-11-09,待辦,全體
T17,彩排二與最後修正,全組,2026-11-11,2026-11-11,待辦,全體
T18,正式報告,全組,2026-11-13,2026-11-13,待辦,全體
